,artist,year,year
,count,amin,amax
dusty-mcfly,8,2012,2015
8ightball,8,2013,2013
eaggerstunn,8,2012,2012
cocaine-80-s,8,2012,2013
blastermann,8,2013,2013
allan-kingdom,8,2014,2016
1982,8,2010,2012
buckshot-lefonque,8,2006,2008
ghostpoet,8,2013,2015
chris-miles,8,2015,2016
billard,8,2014,2016
derek-pope,8,2016,2016
bricc-baby,8,2016,2016
b-martin,8,2012,2013
black-cobain,8,2012,2014
del-tha-funkee-homosapien,8,2008,2008
dez,8,2011,2014
dee-1,8,2012,2016
dyme-a-duzin,7,2013,2015
gino-marley,7,2014,2016
gospel-gangstas,7,2006,2006
boss,7,2008,2008
dj-felli-fel,7,2007,2014
a-mafia,7,2011,2013
ca-hflow,7,1986,1986
doe-boy,7,2013,2016
aer,7,2013,2014
2pac-outlawz,7,2008,2008
the-click,7,2008,2008
emanero,7,2011,2011
cherlise,7,2011,2012
chingo-bling,7,2006,2006
the-disposable-heroes-of-hiphoprisy,7,2008,2008
cold-flamez,7,2009,2012
en-gma,7,2013,2013
charles-billingsley,7,2016,2016
corner-boy-p,7,2013,2016
enzo-ikah,7,2013,2013
gemello,6,2014,2014
deen-burbigo,6,2013,2016
bryant-dope,6,2013,2016
fronda,6,2014,2016
dj-absolut,6,2011,2016
baby-rasta-y-gringo,6,2012,2015
arab,6,2013,2016
bino-rideaux,6,2016,2016
dice-soho,6,2016,2016
detail,6,2010,2014
d-pryde,6,2011,2014
al-doe,6,2015,2016
caught-a-ghost,6,2013,2016
fiend-cookin-soul,6,2012,2012
ella-mai,6,2015,2016
derek-wise,6,2016,2016
big-pooh,6,2012,2015
deniro,6,2014,2016
big-gipp,6,2008,2015
awkword,6,2013,2014
dj-twin,6,2016,2016
diirty-ogz,6,2016,2016
bandit-gang-marco,5,2012,2016
dj-class,5,2009,2012
dave-b,5,2016,2016
fat-nick,5,2016,2016
coely,5,2013,2013
beast-1333,5,2011,2011
billy-blue,5,2009,2016
a-ap-ant,5,2016,2016
bigflo-oli,5,2013,2016
ben-j,5,2011,2015
amanda-blank,5,2009,2012
caleborate,5,2016,2016
apl-de-ap,5,2009,2015
allday,5,2014,2015
257ers,5,2016,2016
dougie-f,5,2016,2016
bad-spit,5,2014,2014
gentleman-s-dub-club,5,2012,2012
deal-pacino,5,2013,2013
bobby-creekwater,5,2013,2014
andy-milonakis,5,2006,2016
flashmaster-ray,5,2013,2014
4th-avenue-jones,5,2008,2011
flatlinerz,5,2014,2014
dumbfoundead,5,2012,2016
gary-chapman,5,2008,2008
die-firma,5,2006,2016
famous,5,2012,2013
carla-s-dreams,5,2016,2016
driicky-graham,5,2012,2014
disiz,5,2014,2014
dre,5,2006,2008
black-dave,5,2015,2016
candy-hill,5,2006,2007
future-atl,5,2012,2013
brandon-vee,5,2012,2012
furthermore,4,2008,2008
bob-da-rage-sense,4,2013,2013
aaron-smith,4,2006,2015
big-mike,4,2008,2014
gibsai-santos,4,2013,2015
afasi-filthy,4,2008,2014
evian-christ,4,2014,2014
destorm,4,2013,2014
daniel-ingram,4,2014,2014
dash-flash,4,2016,2016
ari,4,2009,2014
ag-da-coroner,4,2016,2016
encore,4,2011,2011
g-frsh,4,2010,2014
dice-raw,4,2008,2013
ad-sorry-jaynari,4,2016,2016
dj-carnage,4,2015,2016
akala,4,2010,2013
de-la-ghetto,4,2015,2016
fugative,4,2010,2013
